City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Middelburg,ZA,2021-08-14 19:14:47,-25.7751,29.4648,44.38,80,2,6.82
59,Calvinia,ZA,2021-08-14 19:14:47,-31.4707,19.776,47.61,69,0,13.04
60,Makakilo City,US,2021-08-14 19:14:47,21.3469,-158.0858,80.62,62,20,5.75
61,Pisco,PE,2021-08-14 19:14:37,-13.7,-76.2167,65.01,81,22,7.2
62,Cape Town,ZA,2021-08-14 19:14:48,-33.9258,18.4232,56.12,69,0,1.99
63,Hilo,US,2021-08-14 19:12:23,19.7297,-155.09,80.33,73,20,9.22
64,Constitucion,CL,2021-08-14 19:14:48,-35.3333,-72.4167,55.27,69,100,6.44
65,High Level,CA,2021-08-14 19:14:48,58.5169,-117.136,68.31,52,100,9.53
66,Kapaa,US,2021-08-14 19:10:36,22.0752,-159.319,80.92,74,90,4.0
67,Santa Marta,CO,2021-08-14 19:14:32,11.2408,-74.199,84.13,71,23,8.19
68,Vao,NC,2021-08-14 19:14:49,-22.6667,167.4833,67.28,61,97,16.69
69,Bluff,NZ,2021-08-14 19:14:49,-46.6,168.3333,42.8,82,99,22.64
70,Mahebourg,MU,2021-08-14 19:14:50,-20.4081,57.7,69.26,80,57,20.76
71,Melbu,NO,2021-08-14 19:14:50,68.5044,14.8297,54.21,80,26,8.05
72,Saint-Philippe,RE,2021-08-14 19:14:50,-21.3585,55.7679,69.39,84,94,16.67
73,Adrar,MR,2021-08-14 19:14:51,20.5022,-10.0711,99.81,19,31,25.19
74,Ribeira Grande,PT,2021-08-14 19:14:51,38.5167,-28.7,79.2,69,20,9.22
75,Ikungi,TZ,2021-08-14 19:14:51,-5.1333,34.7667,64.89,52,9,12.1
76,San Quintin,MX,2021-08-14 19:14:52,30.4833,-115.95,77.83,62,0,16.69
77,Buchanan,LR,2021-08-14 19:14:52,5.8808,-10.0467,76.96,74,100,6.58
78,Sitka,US,2021-08-14 19:14:53,57.0531,-135.33,60.69,72,40,4.61
79,Grand Gaube,MU,2021-08-14 19:14:53,-20.0064,57.6608,69.39,78,5,1.99
80,Salalah,OM,2021-08-14 19:14:53,17.0151,54.0924,77.09,94,90,5.75
81,Pathein,MM,2021-08-14 19:14:53,16.7833,94.7333,78.57,90,100,4.38
82,Lebu,CL,2021-08-14 19:14:54,-37.6167,-73.65,50.95,76,100,6.76
83,Kaitangata,NZ,2021-08-14 19:14:54,-46.2817,169.8464,45.68,76,32,10.56
84,Santiago,CL,2021-08-14 19:11:10,-33.4569,-70.6483,67.44,26,100,2.3
85,Corum,TR,2021-08-14 19:14:55,40.5,34.75,58.96,69,0,5.64
86,Tura,IN,2021-08-14 19:14:55,25.5198,90.2201,74.34,98,100,5.7
87,Ixtapa,MX,2021-08-14 19:11:33,20.7,-105.2,87.22,66,75,3.44
88,Dunedin,NZ,2021-08-14 19:14:55,-45.8742,170.5036,47.8,44,32,4.0
89,Haines Junction,CA,2021-08-14 19:14:56,60.7522,-137.5108,52.83,78,100,5.64
90,Isla Mujeres,MX,2021-08-14 19:11:16,21.2311,-86.731,77.05,66,2,8.19
91,Iesolo,IT,2021-08-14 19:14:56,45.5331,12.6448,84.18,75,0,4.72
92,Kirakira,SB,2021-08-14 19:14:57,-10.4544,161.9205,77.76,89,97,10.58
93,Matara,LK,2021-08-14 19:14:57,5.9485,80.5353,78.87,83,100,12.48
94,Bredasdorp,ZA,2021-08-14 19:14:57,-34.5322,20.0403,49.71,86,0,9.82
95,Karaton,ID,2021-08-14 19:14:58,-6.3424,106.1045,77.16,94,38,1.5
96,Kalmunai,LK,2021-08-14 19:14:58,7.4167,81.8167,81.61,77,100,1.19
97,Iqaluit,CA,2021-08-14 19:14:58,63.7506,-68.5145,41.5,92,100,15.32
98,Provideniya,RU,2021-08-14 19:14:58,64.3833,-173.3,50.81,90,100,6.04
99,Zhigansk,RU,2021-08-14 19:14:59,66.7697,123.3711,46.67,80,100,13.2
